question,expected_answer,generated_answer,exact_match,semantic_similarity,rouge1,rougeL,bleu,meteor,bert_f1,f1_score
Name three genres that have influenced trance music.,"Trance music incorporates influences from techno, house, and chill-out.","The provided context mentions that uplifting trance has been strongly influenced by classical music. It also states that tech trance is a mixture of trance and techno, and vocal trance combines trance's progressive elements with pop music. Therefore, the genres that have influenced trance music are classical music, techno, and pop music.",0,0.7611,0.1587,0.1587,0.0,0.2797,0.2958,0.1739
What advancements in music technology aided the production of electronica?,"Industry advancements in music technology, especially electronic musical instruments, synthesizers, music sequencers, drum machines, and digital audio workstations.","Advancements in music technology that aided the production of electronica include electronic musical instruments, synthesizers, music sequencers, drum machines, and digital audio workstations. The development of this technology allowed individuals and smaller groups to produce electronic music in smaller studios. Computers also facilitated the use of music samples and loops.",0,0.8117,0.4706,0.4706,0.2287,0.6311,0.573,0.5185
"Where was the lira da braccio played, on the lap or on the shoulder?",The lira da braccio was played on the shoulder.,"The lira da braccio was played on the shoulder. The name ""braccio"" refers to the arm, implying that the instrument was played on the shoulder.",0,0.8735,0.5294,0.5294,0.3159,0.8333,0.5429,0.6667
What is new beat?,"New beat is a Belgian electronic dance music genre that fuses elements of new wave, hi-NRG, EBM and hip hop (e.g. scratching).","New beat is a Belgian electronic dance music genre. It fuses elements of new wave, hi-NRG, EBM, and hip hop. The genre flourished in Western Europe during the late-1980s.",0,0.9728,0.7273,0.7273,0.4197,0.744,0.7247,0.6667
What is political hip hop?,"Political hip hop is a subgenre of hip hop music that emerged in the 1980s as a form of political expression and activism. It typically addresses sociopolitical issues through lyrics, aiming to inspire action, promote social change, or convey specific political viewpoints.",Political hip hop is a subgenre of hip hop music that emerged in the 1980s as a form of political expression and activism. It typically addresses sociopolitical issues through lyrics to inspire action and promote social change. The genre draws inspiration from earlier politically conscious artists and movements like the Black Power movement.,0,0.9873,0.7789,0.7789,0.5608,0.7755,0.774,0.7
What film's use of Bill Haley and His Comets' song caused a national sensation in 1955?,The Blackboard Jungle.,"The film that used Bill Haley and His Comets' song ""(We're Gonna) Rock Around the Clock"" and caused a national sensation in 1955 was The Blackboard Jungle. Teenagers started dancing in the aisles when the song was played during the opening credits. The Rock and Roll Era is generally dated from the premiere of this film.",0,0.3971,0.1,0.1,0.0,0.3079,0.1974,0.1304
When did terry fall release truck driving man?,"Terry Fell released ""Truck Drivin' Man"" in 1954.","Terry Fell released ""Truck Drivin' Man"" in 1954. The song is a part of the truck-driving country subgenre. It is characterized by lyrical content about trucks, truck drivers, and the trucking industry experience.",0,0.8291,0.381,0.381,0.2034,0.7612,0.5502,0.4211
When did neo soul develop and gain mainstream success?,Neo soul developed during the 1980s and early 1990s and gained mainstream success during the 1990s.,Neo soul originated in the 1980s and early 1990s. It gained popularity in the mid-1990s.,0,0.9163,0.625,0.625,0.2026,0.4329,0.7941,0.6154
What songs helped Pop Smoke introduce Brooklyn drill to the mainstream?,"The songs ""Dior"" and ""Welcome to the Party"" helped Pop Smoke introduce Brooklyn drill into the mainstream music industry.","Pop Smoke introduced Brooklyn drill to the mainstream with his mixtapes, particularly the songs ""Dior"" and ""Welcome to the Party."" ""Welcome to the Party,"" produced by 808Melo, gained significant attention and was remixed by artists like Nicki Minaj and Skepta. Pop Smoke was also nominated for a 2021 Grammy Award for ""Dior.""",0,0.8445,0.4225,0.2817,0.1154,0.5692,0.4292,0.3929
What was the primary source of inspiration for composers in the beginning of the 20th century who wanted to create an authentically Brazilian music?,Folklore was the major font of inspiration for the composers.,"In the beginning of the 20th century, the folklore was the major font of inspiration for composers who wanted to create authentically Brazilian music. They aimed to move away from European cultural influences. This trend reached its peak with Alberto Nepomuceno, who used rhythms and melodies from Brazilian folklore.",0,0.7542,0.339,0.3051,0.1172,0.6191,0.3857,0.32
"Who coined the terms ""garage house"", ""garage music"", or simply ""garage"", and ""Jersey sound"", or ""New Jersey house""?","In New York and Newark, the terms ""garage house"", ""garage music"", or simply ""garage"", and ""Jersey sound"", or ""New Jersey house"", were coined for a deeper, more soulful, R&B-derived subgenre of house that was developed in the Paradise Garage nightclub in New York City and Club Zanzibar in Newark, New Jersey, during the early-to-mid 1980s.","The terms ""garage house"", ""garage music"", or simply ""garage"", and ""Jersey sound"", or ""New Jersey house"", were coined in New York and Newark. These terms were used for a deeper, more soulful, R&B-derived subgenre of house music. This subgenre was developed in the Paradise Garage nightclub in New York City and Club Zanzibar in Newark, New Jersey.",0,0.9788,0.8814,0.7966,0.7163,0.8563,0.8384,0.8675
"How do some Southern artists feel about the term ""hick-hop""?","The term ""hick-hop"" is often criticized by some southern artists.","Some Southern artists are critical of the term ""hick-hop."" Struggle Jennings said, ""I love the country, I love the South, I've been fishing and hunting, but I'm not a hick. I'm not hick-hop"".",0,0.848,0.3265,0.1633,0.0,0.3024,0.4518,0.2105
Did some artists criticize the electroclash label?,"Yes, some acclaimed protagonists in the early 2000s fiercely criticized the electroclash label and the hype around it. For example, I-F and other artists signed an ""Anti-Electroclash-Manifest"", where they complained about the sellout of the style.","Yes, some artists criticized the electroclash label. I-F and others signed an ""Anti-Electroclash-Manifest"" complaining about the sellout of the style. Toktok vs. Soffy O. stated that it was just a recycling of something they had known for years.",0,0.8347,0.65,0.55,0.1948,0.4928,0.5809,0.4848
What is the typical musical structure of a talking blues?,"A talking blues typically consists of a repetitive guitar line utilizing a three chord progression which is not actually a twelve bar blues. The vocals are sung in a rhythmic, flat tone, very near to a speaking voice, and take the form of rhyming couplets. At the end of each verse, the singer continues to talk, adding a fifth line consisting of an irregular, generally unrhymed, and unspecified number of bars, often with a pause in the middle of the line, before resuming the strict chordal structure.","A talking blues typically uses a repetitive guitar line with a three-chord progression. The vocals are sung in a rhythmic, flat tone, very near to a speaking voice, and take the form of rhyming couplets. At the end of each verse, the singer adds a fifth line consisting of an irregular number of bars.",0,0.954,0.7465,0.7324,0.4037,0.4885,0.6871,0.6729
Did Tukis dye their hair?,"Yes, Tukis dyed their beards and the tips of their hair with hydrogen peroxide.","I am sorry, but the provided context does not contain information about Tukis or whether they dyed their hair.",0,0.7847,0.303,0.2424,0.0,0.1379,0.3079,0.25
"What is pluggnB, and who are some of its originators?","PluggnB is a new style of plugg that combined plugg production with melodic, dreamy contemporary R&B synths. Among the originators of this new style were XanGang, producer collective Surreal Gang, producers CashCache, Dylvinci, and various rappers, such as rapper-producer Corey Lingo, rapper Lil Shine, rapper-producer Neiburr, and the now-defunct artistic collective known as SlayWorld.","PluggnB is a new style that emerged, combining plugg production with melodic, dreamy contemporary R&B synths. Some of its originators include XanGang, Surreal Gang, CashCache, Dylvinci, Corey Lingo, Lil Shine, Neiburr, and SlayWorld. SlayWorld's roster included Izaya Tiji, Autumn!, Summrs, and Kankan.",0,0.9341,0.6078,0.5686,0.2427,0.5327,0.5245,0.6512
When was the term Neue Deutsche Welle first used in a record-shop advertisement?,The term Neue Deutsche Welle was first used in a record-shop advertisement in August 1979.,The term Neue Deutsche Welle was first used in a record-shop advertisement in an August 1979 issue of the West German magazine Sounds. The advertisement was by Burkhardt Seiler. The term was also used by journalist Alfred Hilsberg in an article in October 1979.,0,0.9184,0.5246,0.5246,0.2792,0.6727,0.5872,0.6222
Explain the meaning behind the name 'Illbient'.,"The word ""illbient"" combines the hip hop slang term ""ill"" and ""ambient"".","The name ""illbient"" combines the hip hop slang term ""ill"" with ""ambient"". DJ Olive and DJ Spooky, pioneers of the genre, are credited with coining the term.",0,0.8963,0.5641,0.5128,0.2721,0.7487,0.6296,0.6061
In what musical ensembles is the cello used?,"The cello is used in symphony orchestras, string quartets, chamber groups, modern Chinese orchestras, and cello rock bands.","The cello is used in traditional string quartets, string quintets, sextets, or trios. It is also used in mixed ensembles, cello choirs, and orchestras.",0,0.8861,0.4762,0.381,0.1804,0.37,0.5657,0.4571
"What is the significance of the track ""We Have Arrived"" in the history of hardcore techno?","The track ""We Have Arrived"" by Mescalinum United is considered the first hardcore techno track.","""We Have Arrived"" by German producer Marc Trauner (Mescalinum United) was the first hardcore techno track. It was released in 1990. This marked a significant moment in the genre's history.",0,0.8386,0.5217,0.4783,0.1947,0.5867,0.57,0.439
"According to the document, who is co-founder of Soundscape?","According to the document, Nezar Kadhem is co-founder of Soundscape.","According to the document, one of Soundscape's co-founders is Nezar Kadhem. The document also mentions that Barry Truax and Hildegard Westerkamp were involved in the World Soundscape Project.",0,0.8717,0.5366,0.3415,0.0962,0.4509,0.567,0.3889
What are the Dravidian languages in which Carnatic music is known as Karnāṭaka saṃgīta or Karnāṭaka saṅgītam?,Carnatic music is known as Karnāṭaka saṃgīta or Karnāṭaka saṅgītam in the Dravidian languages.,"Carnatic music is known as Karnāṭaka saṃgīta or Karnāṭaka saṅgītam in the Dravidian languages. It is commonly associated with South India, including the modern Indian states of Andhra Pradesh, Karnataka, Kerala, Tamil Nadu, Telangana and southern Odisha.",0,0.9601,0.6349,0.6349,0.3509,0.8393,0.6956,0.5532
When was Slim Cessna's Auto Club formed?,Slim Cessna's Auto Club was formed in 1992.,"I am sorry, but the provided context does not contain information about the formation of Slim Cessna's Auto Club.",0,0.8493,0.3448,0.3448,0.0,0.3236,0.4147,0.2308
Name some artists whose music was featured on beautiful music stations during the 1970s.,"By the 1970s, softer songs by artists like The Carpenters, Anne Murray, John Denver, Barry Manilow, Barbra Streisand, Dionne Warwick, Neil Diamond, Elton John, Nancy Wilson and others were added to the mix on many stations.","In the 1970s, beautiful music stations featured softer songs by artists like The Carpenters, Anne Murray, John Denver, Barry Manilow, Barbra Streisand, Dionne Warwick, Neil Diamond, Elton John, and Nancy Wilson. They also played soft songs by artists like Elvis Presley, The Beatles, and Billy Joel.",0,0.8792,0.7073,0.6341,0.4627,0.7202,0.7324,0.6667
How did Indian bands incorporate traditional Indian music into their rock music?,"Indian bands began fusing rock with traditional Indian music from the mid-1960s onwards. A notable example is the Cavaliers' 1967 hit ""Love is A Mango,"" which incorporates sitar accompaniment alongside Beatlesque songwriting.",Indian rock bands incorporate elements of Indian music with rock music. The Indian subgenre of fusion encourages a blend of ancient Indian musical traditions with rock music. This is often topically India-centric.,0,0.5377,0.3333,0.2121,0.0,0.1875,0.3072,0.3137
What are some stereotypical English obsessions included in Chap hop?,"Cricket, tea, and the weather.","Chap hop mixes hip hop with elements from the Chappist or steampunk subcultures and stereotypical English obsessions. These obsessions include cricket, tea, and the weather.",0,0.3526,0.3333,0.3333,0.0943,0.7114,0.2111,0.3704
What are the two main melodic instruments commonly heard in Cajun music?,The two main melodic instruments are the accordion and fiddle.,"The two main melodic instruments in Cajun music are the accordion and the fiddle. These instruments are often accompanied by the high, clear tones of a metal triangle in the background.",0,0.8079,0.4878,0.4878,0.1997,0.7372,0.6112,0.5455
In what years are music indexes available?,"Music indexes are available for the years 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, and 1959.","I am sorry, but I cannot answer this question. The provided context does not mention the years music indexes are available.",0,0.7747,0.3077,0.2051,0.0,0.2645,-0.0945,0.2703
What are some of the instruments that are related to the oboe?,"Piccolo oboe
Oboe d'amore
Cor anglais (English horn)
Oboe da caccia
Wiener oboe
Bombarde
Bass oboe
Heckelphone
Lupophon
Contrabass oboe
Piston oboe","The oboe has several related instruments, including the cor anglais, oboe d'amore, bass oboe, heckelphone, and musette. There are also folk versions of the oboe found throughout Europe. David Stock's concerto ""Oborama"" features the Oboe and its other members as a soloist.",0,0.7121,0.3284,0.2687,0.0,0.125,0.032,0.1176
List some of the subgenres of hardstyle mentioned in the document.,"Euphoric hardstyle, Trapstyle, and Dubstyle are mentioned as subgenres of hardstyle.","The document mentions the following subgenres of hardstyle: euphoric hardstyle, trapstyle, and dubstyle. Euphoric hardstyle is characterized by emotional melodies and heavy pitch-shifting of kicks. Trapstyle is linked to trap music, and dubstyle is a fusion of hardstyle and dubstep.",0,0.8445,0.3462,0.2692,0.0,0.3828,0.4115,0.3415
What is the name of the industrial rock album that was certified gold in 1996 and included contributions from Foetus and Coil?,"The Nine Inch Nails remix album Further Down the Spiral, which included contributions from Foetus and Coil, was certified gold in 1996.","I am sorry, but the provided context does not contain the name of an industrial rock album that was certified gold in 1996 and included contributions from Foetus and Coil.",0,0.6108,0.5385,0.3077,0.2047,0.5073,0.3964,0.449
"According to Gloria Anzaldúa, what instruments make up conjuntos?","According to Gloria Anzaldúa, conjuntos are made up of folk musicians playing guitar, bajo sexto, drums and button accordion.","According to Gloria Anzaldúa, conjuntos are three or four-piece bands. These bands are made up of folk musicians playing guitar, bajo sexto, drums, and button accordion. She also mentions that Chicanos borrowed the button accordion from German immigrants.",0,0.8739,0.6667,0.6667,0.3813,0.852,0.712,0.6545
Name two albums considered seminal in the plunderphonics genre.,Endtroducing..... by DJ Shadow and Since I Left You by The Avalanches are considered two of the most important plunderphonics albums.,The two most important plunderphonics albums are Endtroducing..... and Since I Left You. Both Philip Sherburne and Joseph Krol recognized them as seminal works.,0,0.7946,0.5778,0.2667,0.1595,0.4499,0.4159,0.5238
What is the last year listed in the document?,The last year listed in the document is 1950.,The last year listed in the document is 2019. There are multiple references to the year 2019 in the text.,0,0.7797,0.5517,0.5517,0.3467,0.625,0.6669,0.6087
What musical styles emerged in the 1980s?,Electronic dance music and indie pop emerged in the 1980s.,"In the 1980s, dance music records made using only electronic instruments became increasingly popular. House music, originating in Chicago, Illinois, in the early 1980s, also gained popularity. Synth-pop also emerged in the 1980s.",0,0.7309,0.3636,0.3182,0.0836,0.5467,0.4891,0.3889
"What names, other than Tangent Piano, was the instrument known by?","The instrument was also known as the ""Spättisches Klavier,"" cembalo angelico, and clavecin harmonieux et celeste.","The tangent piano was also known as the ""Spättisches Klavier,"" the Italian cembalo angelico, and the French clavecin harmonieux et celeste. Mozart referred to the instrument as the ""Spättisches Klavier."" These names indicate the tangent piano's spread throughout Europe.",0,0.752,0.5763,0.5424,0.2444,0.7965,0.622,0.6667
What does the word Kidandali mean in the Ganda language?,"In the Ganda language, Kidandali can mean ""local party"" or ""celebration"".","In the Ganda language, Kidandali means ""local party"" or ""celebration"". Music concerts and traditional wedding ceremonies (kwanjula) are examples of such ""bidandali"". The music is named this because it is often played at such local parties and functions.",0,0.8504,0.4082,0.4082,0.152,0.7066,0.5223,0.4091
What elements are commonly featured in ambient house tracks?,"Ambient house tracks typically feature four-on-the-floor beats, synth pads, and vocal samples integrated in an atmospheric style.","I am sorry, but the provided context does not contain information about ambient house tracks. Therefore, I cannot answer your question.",0,0.6602,0.1951,0.1463,0.0,0.1078,0.1321,0.1081
When did experimental music become prominent and where?,"The practice became prominent in the mid-20th century, particularly in Europe and North America.","In the 1960s, the term ""experimental music"" began to be used in America for a new purpose. It was an attempt to establish an historical category to help legitimize a group of radically innovative, ""outsider"" composers.",0,0.2655,0.1961,0.1569,0.0,0.1235,0.2396,0.0952
What type of page is this?,This page indexes the individual year in music pages.,"I am sorry, but the provided context does not specify the type of page.",0,0.3896,0.1739,0.1739,0.0,0.0526,0.061,0.0909
"What claim did Turk McBee make about Emmett Miller and Jimmie Rodgers, and what is the current understanding of that claim?","Turk McBee claimed that Miller and Rodgers had met in Asheville (North Carolina) in 1925. However, this has since been refuted, and there are even doubts as to whether McBee really worked with Miller.","Turk McBee claimed that Miller and Rodgers met in 1925 in Asheville, North Carolina. However, this claim has been refuted. There are even doubts as to whether McBee really worked with Miller.",0,0.9748,0.9394,0.8788,0.5111,0.7533,0.898,0.7869
When did the dulcian flourish?,The dulcian flourished between 1550 and 1700.,"The dulcian seems to have been in wide use by the middle of the sixteenth century. The latest commonly copied example is by Denner, c. 1700. The dulcian was available in as many as eight different sizes by the mid-16th century.",0,0.6579,0.1224,0.1224,0.0,0.1442,0.219,0.1622
What was Josh Lawford's opinion on breakbeat's effect on rave culture?,"Josh Lawford prophesied that breakbeat was ""the death-knell of rave"" because the ever-changing drumbeat patterns of breakbeat music didn't allow for the same zoned out, trance-like state that the standard, steady 4/4 beats of house enabled.","Josh Lawford of Ravescene prophesied that breakbeat was ""the death-knell of rave"". He believed that the ever-changing drumbeat patterns of breakbeat music didn't allow for the same trance-like state that the standard 4/4 beats of house enabled.",0,0.9811,0.8916,0.8916,0.6238,0.8257,0.8219,0.8136
Who coined the term 'Sufi rock' and when?,The term 'Sufi rock' was coined in 1993 by writer Nadeem F. Paracha.,"The term ""Sufi rock"" was coined in 1993 by writer Nadeem F. Paracha. He used the term to define the Pakistani band Junoon.",0,0.8329,0.7222,0.7222,0.374,0.7777,0.8094,0.6667
"When was the term ""power noise"" coined, and by whom?","The term ""power noise"" was coined by Raoul Roucka of Noisex in 1997, with the track ""United (Power Noise Movement)"".","The term ""power noise"" was coined in 1997 by Raoul Roucka of Noisex, with the track ""United (Power Noise Movement)"". Power noise melds noise music with electronic dance music. It is usually instrumental and based on a distorted kick drum.",0,0.9252,0.6667,0.6,0.3171,0.7941,0.7474,0.6182
How did Vishnu Narayan Bhatkhande contribute to the standardization of Hindustani Classical music?,"Around 1900, Vishnu Narayan Bhatkhande consolidated the musical structures of Hindustani classical music, called ragas, into a few thaats based on their notes.",Vishnu Narayan Bhatkhande researched and collected compositions from various Hindustani and Carnatic gharanas. He produced a four-volume work that suggested a transcription of Indian music. Bhatkhande also categorized ragas based on their notes into a number of thaats.,0,0.8127,0.4516,0.3226,0.0,0.3641,0.5046,0.3571
Who was U. Srinivas?,U. Srinivas was a mandolin player known for playing classical Carnatic music.,"U. Srinivas was perhaps the greatest mandolin player in the Carnatic music style. He was lauded across the world for his virtuosity with the instrument. Unfortunately, he died young.",0,0.8868,0.3902,0.3415,0.0,0.4178,0.6206,0.3889
What genre's name is derived from acid house?,"The name of acid jazz is derived from that of acid house, which served as one of the inspirations for the genre's development.","Rave culture began to emerge from the house and acid house scene in the late 1980s and early 1990s. Like house, it incorporated disco culture's love of dance music, recreational drug and club drug exploration, sexual promiscuity, and hedonism. The rave scene stayed underground to avoid law enforcement attention and its association with illegal club drugs.",0,0.438,0.1975,0.1235,0.0,0.1521,0.12,0.1613
Were there any deaths reported in the 1520s in music?,"Yes, the decade of the 1520s involved deaths.","Yes, the decade of the 1520s in music involved deaths. The decade of the 1520s involved some significant events, compositions, publications, births, and deaths.",0,0.8375,0.5,0.5,0.2574,0.8114,0.6103,0.6087
What are some key elements of early hardstyle music?,"The first few years of hardstyle were characterized by a tempo of around 140–150 BPM, a distorted kick drum sound, vocal samples, dissonant synth sounds known as 'screeches' and the use of a 'reverse bass', a hard kick distorted offbeat bass within the same beat.","Early hardstyle music was characterized by a tempo of around 140–150 BPM, a distorted kick drum sound, vocal samples, and dissonant synth sounds known as ""screetches."" It also featured the use of a ""reverse bass,"" a hard kick distorted offbeat bass within the same beat. Early hardstyle is focused mostly on reverse bass kicks, which can still be found in songs today as a pre-drop.",0,0.9574,0.6903,0.6726,0.4416,0.7383,0.7002,0.6517
Who coined the term 'chillwave' and when?,The term 'chillwave' was coined in 2009 by the satirical blog Hipster Runoff.,"The term ""chillwave"" was coined by ""Carles,"" the pseudonymous manager of the blog Hipster Runoff. The term was coined in July 2009.",0,0.8862,0.6857,0.5714,0.0,0.6417,0.7204,0.6429
Who is considered the founder of jungle terror music?,The Dutch DJ and music producer Wiwek is named as the founder of the genre.,"I am sorry, but the provided context does not contain information on who is considered the founder of jungle terror music.",0,0.4596,0.3333,0.2778,0.0,0.2385,0.192,0.2424
What is the intended purpose of new-age music?,"New-age music is intended to create artistic inspiration, relaxation, and optimism.","New-age music is intended to create artistic inspiration, relaxation, and optimism. It is used for yoga, massage, meditation, and reading as a method of stress management. The goal is to bring about a state of ecstasy or create a peaceful atmosphere.",0,0.871,0.4444,0.4444,0.2389,0.6346,0.6996,0.5
When did industrial metal start to develop?,Industrial metal developed in the late 1980s.,Industrial metal began to develop as an offshoot of industrial music. Industrial music itself was born in response to the changing times and the rise of technology.,0,0.6582,0.2941,0.2941,0.0,0.2778,0.4304,0.2759
"According to the document, what two artists are said to be responsible for electronica's thrust into mainstream culture?",Madonna and Björk are said to be responsible for electronica's thrust into mainstream culture.,"Madonna and Björk are said to be responsible for electronica's thrust into mainstream culture. Their albums Ray of Light (Madonna), Post and Homogenic (Björk) are cited. The document does not specify who said this.",0,0.8918,0.6038,0.6038,0.3833,0.8406,0.5817,0.6222
What is the origin of the violin family?,"The violin family, including cello-sized instruments, emerged c. 1500 as a family of instruments distinct from the viola da gamba family.",The violin family emerged around 1500 as a distinct family of instruments from the viola da gamba family. The earliest depictions of the violin family are from Italy around 1530. The likely predecessors of the violin family include the lira da braccio and the rebec.,0,0.859,0.5373,0.4776,0.1685,0.5236,0.4744,0.625
Who is credited with coining the name 'Afrobeats'?,"London-based DJ Abrantee was credited by The Guardian for coining the name ""Afrobeats"", adding an ""s"" to Afrobeat, in order to package and present the sound to British dancefloors.","London-based DJ Abrantee is credited by The Guardian for coining the name ""Afrobeats"". He added an ""s"" to Afrobeat to package and present the sound to British dancefloors. DJ Abrantee stated this.",0,0.9907,0.8571,0.8571,0.5376,0.8154,0.8602,0.7451
Where is Tekk mainly produced?,Tekk/Tekke is mainly produced in Germany.,Tekno was first made and spread by Spiral Tribe. They took it to France and Eastern Europe after the Criminal Justice Act was implemented in the UK.,0,0.5241,0.0588,0.0588,0.0,0.0617,0.1275,0.0667
What are some characteristics of downtempo pop as described by The Atlantic?,"Downtempo pop is characterized by mellow beats, vintage synthesizers, and lo-fi melodies.","The Atlantic described ""downtempo pop"" as a variety of music styles from the 2000s. It is characterized by mellow beats, vintage synthesizers, and lo-fi melodies. This umbrella term includes chillwave, glo-fi, and hypnagogic pop.",0,0.8969,0.5306,0.5306,0.2594,0.6947,0.5775,0.4545
"According to the document, who was considered a doyen among performers on the Lira?","According to Emmanuel Winternitz, Leonardo da Vinci was widely held to be the doyen among performers upon the Lira.","According to the document, Leonardo da Vinci was widely held to be the doyen among performers upon the Lira. He was a great painter and an exponent of the instrument. The lira da braccio was popular in North Italian city-states.",0,0.8495,0.5667,0.5667,0.367,0.7237,0.5083,0.6122
What is the typical BPM for speedcore?,"Songs are usually classified as speedcore at around 300+ beats per minute (BPM), but this can vary.","I am sorry, but the provided context does not specify the typical BPM for speedcore. However, it does state that songs with a BPM between 600 and 1,000 are known as splittercore, and songs with a BPM of 1,000 or higher are known as extratone songs.",0,0.8051,0.1846,0.1231,0.0,0.1005,0.1424,0.1569
What did Robert Christgau say about the music industry in the 1980s?,"Robert Christgau stated that the 1980s were above all a time of international corporatization, as one major after another gave it up to media moguls in Europe and Japan.","Robert Christgau said the 1980s were a time of international corporatization in the music industry. He noted that record executives became arbitragers, speculating in rights rather than focusing on the music's physical characteristics. Christgau also stated that rock was reconceived as intellectual property and a form of capital.",0,0.5419,0.3846,0.3077,0.0891,0.3104,0.3752,0.4
What happened in music in 1959?,"There are pages indexing 1959 in music, 1959 in British music, and 1959 in Norwegian music.","I am sorry, but the provided text does not contain information about music in 1959.",0,0.7072,0.1935,0.1935,0.0,0.0314,0.2412,0.0769
